"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 11:35:25 GMT+05:00 2025","Wed Mar 19 11:35:28 GMT+05:00 2025","3051","","UserUpdateTests","","UserUpdateTests","testUpdateUserName","testUpdateUserName","Обновление name пользователя"
"passed","Wed Mar 19 11:35:28 GMT+05:00 2025","Wed Mar 19 11:35:31 GMT+05:00 2025","3412","","UserUpdateTests","","UserUpdateTests","testUpdateUserEmail","testUpdateUserEmail","Обновление email пользователя"
"passed","Wed Mar 19 11:35:16 GMT+05:00 2025","Wed Mar 19 11:35:19 GMT+05:00 2025","3179","","UserOrdersTests","","UserOrdersTests","testGetOrdersWithoutAuth","testGetOrdersWithoutAuth","Получение заказов неавторизованного пользователя"
"passed","Wed Mar 19 11:34:51 GMT+05:00 2025","Wed Mar 19 11:34:54 GMT+05:00 2025","3452","","UserCreationTests","","UserCreationTests","testCreateDuplicateUser","testCreateDuplicateUser","Создание пользователя, который уже зарегистрирован"
"passed","Wed Mar 19 11:34:54 GMT+05:00 2025","Wed Mar 19 11:34:57 GMT+05:00 2025","2904","","UserCreationTests","","UserCreationTests","testCreateUserWithoutName","testCreateUserWithoutName","Создание пользователя без имени"
"passed","Wed Mar 19 11:35:12 GMT+05:00 2025","Wed Mar 19 11:35:16 GMT+05:00 2025","3123","","UserLoginTests","","UserLoginTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword","Логин с неверным паролем"
"passed","Wed Mar 19 11:35:06 GMT+05:00 2025","Wed Mar 19 11:35:09 GMT+05:00 2025","3193","","UserLoginTests","","UserLoginTests","testLoginWithValidCredentials","testLoginWithValidCredentials","Логин под существующим пользователем"
"passed","Wed Mar 19 11:34:44 GMT+05:00 2025","Wed Mar 19 11:34:47 GMT+05:00 2025","3359","","OrderCreationTests","","OrderCreationTests","testCreateOrderWithInvalidIngredient","testCreateOrderWithInvalidIngredient","Создание заказа с неверным хешем ингредиентов"
"passed","Wed Mar 19 11:35:19 GMT+05:00 2025","Wed Mar 19 11:35:25 GMT+05:00 2025","6198","","UserOrdersTests","","UserOrdersTests","testGetOrdersWithAuth","testGetOrdersWithAuth","Получение заказов авторизованного пользователя"
"passed","Wed Mar 19 11:35:09 GMT+05:00 2025","Wed Mar 19 11:35:12 GMT+05:00 2025","3002","","UserLoginTests","","UserLoginTests","testLoginWithInvalidEmail","testLoginWithInvalidEmail","Логин с неверным email"
"passed","Wed Mar 19 11:34:57 GMT+05:00 2025","Wed Mar 19 11:35:00 GMT+05:00 2025","3010","","UserCreationTests","","UserCreationTests","testCreateUserWithoutEmail","testCreateUserWithoutEmail","Создание пользователя без email"
"passed","Wed Mar 19 11:34:29 GMT+05:00 2025","Wed Mar 19 11:34:40 GMT+05:00 2025","10999","","OrderCreationTests","","OrderCreationTests","testCreateOrderWithAuthAndIngredients","testCreateOrderWithAuthAndIngredients","Создание заказа с авторизацией и ингредиентами"
"passed","Wed Mar 19 11:34:40 GMT+05:00 2025","Wed Mar 19 11:34:44 GMT+05:00 2025","3761","","OrderCreationTests","","OrderCreationTests","testCreateOrderWithoutIngredients","testCreateOrderWithoutIngredients","Создание заказа без ингредиентов"
"passed","Wed Mar 19 11:35:00 GMT+05:00 2025","Wed Mar 19 11:35:03 GMT+05:00 2025","3243","","UserCreationTests","","UserCreationTests","testCreateUniqueUser","testCreateUniqueUser","Создание уникального пользователя"
"passed","Wed Mar 19 11:35:03 GMT+05:00 2025","Wed Mar 19 11:35:06 GMT+05:00 2025","2951","","UserCreationTests","","UserCreationTests","testCreateUserWithoutPassword","testCreateUserWithoutPassword","Создание пользователя без пароля"
"passed","Wed Mar 19 11:34:47 GMT+05:00 2025","Wed Mar 19 11:34:51 GMT+05:00 2025","3521","","OrderCreationTests","","OrderCreationTests","testCreateOrderWithoutAuth","testCreateOrderWithoutAuth","Создание заказа без авторизации"
